Spaltenbeschriftungen;;;;;;;;
0;;;1;;;Gesamt: Summe von cnt;Gesamt: Summe von casual;Gesamt: Summe von registered
Summe von cnt;Summe von casual;Summe von registered;Summe von cnt;Summe von casual;Summe von registered;;;
1243103;247252;995851;2049576;372765;1676811;3292679;620017;2672662
;;;;;;;;
;1.243.103;2.049.576;;;;;;
;;;;;;;;
;;;;;;;;
;164,8757987;;;;;;;
;;;;;;;;
Spaltenbeschriftungen;;;;;;;;
0;;;1;;;Gesamt: Summe von cnt;Gesamt: Summe von casual;Gesamt: Summe von registered
Summe von cnt;Summe von casual;Summe von registered;Summe von cnt;Summe von casual;Summe von registered;;;
1243103;247252;995851;2049576;372765;1676811;3292679;620017;2672662
;;;;;;;;
;19,9;80,1;;18,2;81,8;;;
